name,city,category_code,number_of_employees,total_money_raised,latitude,longitude
CyberArts,Berkeley,software,55,$16.3M,37.8983665,-122.2795667
HyTrust,Mountain View,security,55,$34.5M,37.393836,-122.099454
Mochila,New York,advertising,52,$9.01M,40.711982,-74.008622
SearchMe,Mountain View,search,52,$43.6M,37.386665,-122.084171
SearchMe,San Francisco,search,52,$43.6M,37.793473,-122.402667
Huddler,San Francisco,web,52,$22.8M,37.7893215,-122.4013624
SparkBase,Cleveland,software,51,$10.5M,41.513652,-81.666101
Mobifusion,,mobile,51,$3.1M,37.552104,-121.9780378
Scribd,San Francisco,news,50,$25.8M,37.789634,-122.404052
Plaxo,Sunnyvale,web,50,$28.3M,37.387845,-122.055197
adBrite,San Francisco,advertising,50,$40.4M,37.779026,-122.40184
Socialtext,Palo Alto,enterprise,50,$46.8M,37.442949,-122.1615
Echo,San francisco,enterprise,50,$4.8M,38.0729365,-122.1879633
Six Apart,Tokyo,enterprise,50,$22.6M,35.6725213,139.7326754
OMGPOP,New York,games_video,50,$16.6M,40.723384,-74.001704
Crunchyroll,San Francisco,games_video,50,$4.8M,37.781265,-122.393229
BitGravity,Burlingame,network_hosting,50,$2.5M,37.590056,-122.347654
Peer39,New York,advertising,50,$29.9M,40.755446,-73.980246
Lijit Networks,Boulder,advertising,50,$28.3M,40.01621,-105.28131
ChoiceStream,Boston,advertising,50,$78.3M,42.36638,-71.093601
Votigo,Boulder,software,50,$1.27M,37.8919079,-122.1192743
MobileAware,Boston,mobile,50,$6.96M,53.342648,-6.280957
MobileAware,Boston,mobile,50,$6.96M,53.342648,-6.280957
MobileAware,Boston,mobile,50,$6.96M,53.342648,-6.280957
MobileAware,Boston,mobile,50,$6.96M,53.342648,-6.280957
Panjiva,NYC,enterprise,50,$5.6M,40.741276,-73.991561
Panjiva,NYC,enterprise,50,$5.6M,40.741276,-73.991561
Panjiva,NYC,enterprise,50,$5.6M,40.741276,-73.991561
Panjiva,NYC,enterprise,50,$5.6M,40.741276,-73.991561
Atigeo,Bellevue,software,50,$5.39M,47.6174533,-122.2016685
Atigeo,Bellevue,software,50,$5.39M,47.6174533,-122.2016685
Atigeo,Bellevue,software,50,$5.39M,47.6174533,-122.2016685
Atigeo,Bellevue,software,50,$5.39M,47.6174533,-122.2016685
UBmatrix,Redwood City,software,50,$9.3M,37.522281,-122.258139
UBmatrix,Redwood City,software,50,$9.3M,37.522281,-122.258139
UBmatrix,Redwood City,software,50,$9.3M,37.522281,-122.258139
UBmatrix,Redwood City,software,50,$9.3M,37.522281,-122.258139
Inuvo,Clearwater,advertising,50,$4.2M,27.913011,-82.702449
Inuvo,Clearwater,advertising,50,$4.2M,27.913011,-82.702449
Inuvo,Clearwater,advertising,50,$4.2M,27.913011,-82.702449
Inuvo,Clearwater,advertising,50,$4.2M,27.913011,-82.702449
Movidius,Dublin,semiconductor,50,$46.5M,53.3574412,-6.2567125
Nexaweb Technologies,Burlington,software,50,$14.6M,42.483826,-71.194268
Nexaweb Technologies,Amsterdam,software,50,$14.6M,52.390168,4.904251
Zoopla,London,real_estate,50,$10.2M,51.5037471,-0.1010801
Movirtu,London,mobile,50,$5.5M,51.5499708,-0.1815999
Movirtu,Noida,mobile,50,$5.5M,28.5821195,77.3266991
Nuxeo,Paris,software,50,$9.25M,48.8656319,2.392119
Nuxeo,Cambridge,software,50,$9.25M,42.3904729,-71.1423056
EcoVadis,PARIS,cleantech,50,$1.4M,48.8545738,2.3216223
Mantara,New York,software,50,$50.6M,40.726517,-74.032177
Ginger Software,Lexington,software,50,$11.7M,42.4352222,-71.2344601
Superfish,Palo Alto,search,50,$19.3M,37.414271,-122.134666
PaperG,San Francisco,advertising,50,$2.7M,37.7905948,-122.406111
Enclarity,Aliso Viejo,consulting,50,$5.5M,33.5842816,-117.7306817
AppZero,Andover,software,50,$15.1M,42.6751888,-71.1469003
Surfkitchen,Reading,mobile,50,£9.6M,51.4245551,-0.9862367
Chartbeat,New York,analytics,50,$14.5M,40.73343,-73.990967
ExtraHop Networks,Seattle,enterprise,50,$19.1M,47.6209107,-122.361239
drchrono,Mountain View,medical,50,$4.13M,37.4202074,-122.0933053
Bigfoot Networks,Redwood City,hardware,50,$20.8M,37.536402,-122.325129
Bigfoot Networks,Austin,hardware,50,$20.8M,30.42845,-97.748816
Solix Biofuels,Fort Collins,cleantech,50,$68.8M,40.5932386,-105.0766501
Catalyst Biosciences,South San Francisco,biotech,50,$95.9M,37.645401,-122.394464
Struq,London,advertising,50,$8.5M,51.5152023,-0.1366861
Struq,,advertising,50,$8.5M,40.7766412,-73.9521468
Testplant,London,software,50,$2.56M,51.517356,-0.1037742
Testplant,Boulder,software,50,$2.56M,40.0230047,-105.2532841
Clavis Technology,Cambridge,software,50,€3.66M,42.3626626,-71.084153
Arkeia Software,Carlsbad,software,50,$4.08M,33.132567,-117.292746
CrowdFlower,San Francisco,enterprise,49,$13.2M,37.7652755,-122.4204782
Solera Networks,South Jordan,analytics,48,$51.7M,40.3310529,-111.7276347
Wetpaint,Seattle,web,47,$39.8M,47.603122,-122.333253
Wetpaint,New York,web,47,$39.8M,40.7237306,-73.9964312
ooma,Palo Alto,hardware,47,$81.3M,37.451958,-122.116026
Adjug,London,advertising,47,$6.5M,51.5441671,-0.1506897
Blip,Santa Monica,games_video,47,$27.3M,34.0272246,-118.4682333
RatePoint,Needham,software,45,$24.5M,42.296111,-71.238524
Etelos,San Mateo,enterprise,45,$4.09M,37.548415,-122.315636
Memeo,Santa Clara,software,45,$11.1M,33.585767,-117.731283
Inertia Beverage Group,Napa,software,45,$25.5M,38.223032,-122.261642
Boxee,Tel Aviv,software,45,$26.5M,32.0554,34.7595
Boxee,New York,software,45,$26.5M,40.745064,-73.992637
BountyJobs,New York,web,45,$29.8M,40.754211,-73.97917
Stratavia,Denver,software,45,$10.7M,39.7462728,-104.9911572
Questra,Redwood City,software,45,$12.5M,37.5384185,-122.252115
Optify,Seattle,software,45,$10.8M,47.603364,-122.333359
Topsy Labs,San Francisco,analytics,45,$35.2M,37.775196,-122.419204
LigoCyte Pharmaceuticals,Bozeman,biotech,45,$42.1M,45.6686485,-111.0662396
Tiny Speck,Vancouver,games_video,45,$17.2M,49.2824551,-123.109217
Apaja,Helsinki,games_video,44,€1.75M,60.171821,24.945167
Jasper Design Automation,Mountain View,software,44,$9.13M,37.393536,-122.076747
Disqus,San Francisco,web,43,$10.5M,37.786906,-122.397672
Triggit,San Francisco,advertising,43,$18.5M,37.771208,-122.418129
SpaBooker,New York,software,42,$14.7M,40.738567,-73.987199
Brand Affinity Technologies,Irvine,advertising,42,$27.5M,33.671428,-117.791423
Kyte,San Francisco,games_video,40,$23.4M,37.788482,-122.409173
GoingOn,San Francisco,software,40,$8.5M,37.782263,-122.392142
ScanScout,Boston,advertising,40,$17.5M,42.340889,-71.051931
ScanScout,New York,advertising,40,$17.5M,40.739833,-73.993158
ScanScout,Los Angeles,advertising,40,$17.5M,34.050887,-118.459995
Flock,Menlo Park,web,40,$28.3M,37.491356,-122.228843
LucidEra,San Mateo,enterprise,40,$15.6M,37.5583159,-122.2862187
Innovid,New York,advertising,40,$27.6M,40.722655,-73.99873
Skimlinks,London,advertising,40,$7.02M,51.522727,-0.084462
AnchorFree,Mountain View,security,40,$62.8M,37.378884,-122.010692
eYeka,Paris,software,40,$9.34M,48.856667,2.350987
gate5,Berlin,mobile,40,€11.5M,52.52348,13.411494
Pivot,Cambridge,software,40,$13.1M,42.364367,-71.078978
Zenoss,Annapolis,software,40,$45.6M,38.97639,-76.503171
Zenoss,Austin,software,40,$45.6M,30.379593,-97.765313
CrestaTech,Santa Clara,software,40,$20.9M,37.383368,-121.980186
AdScale,Munich,advertising,40,$6.15M,48.1654212,11.5893956
SnagFilms,Washington,social,40,$29.5M,38.906867,-77.042322
Purewire,Atlanta,enterprise,40,$4.75M,33.852384,-84.380568
Purewire,Atlanta,enterprise,40,$4.75M,33.852384,-84.380568
Purewire,Atlanta,enterprise,40,$4.75M,33.852384,-84.380568
Purewire,Atlanta,enterprise,40,$4.75M,33.852384,-84.380568
Sentrigo,Santa Clara,software,40,$9.5M,37.55911,-122.303493
Sentrigo,Woburn,software,40,$9.5M,42.508719,-71.144313
Xeround,Bellevue,analytics,40,$39.8M,47.5827406,-122.1353561
AutoVirt,Nashua,software,40,$24.3M,42.7370219,-71.4872976
Verix,Mountain View,software,40,$12.7M,37.4187022,-122.0874129
ReachForce,Austin,enterprise,40,$14.5M,30.389042,-97.756264
Bluelock,Indianapolis,network_hosting,40,$6.12M,39.8705647,-86.2374314
burrp!,Mumbai,web,40,$2.15M,19.017656,72.856178
Cognitive Match,London,advertising,40,$10.2M,51.5119418,-0.0936688
Cognitive Match,New York,advertising,40,$10.2M,40.7454098,-73.9822211
Cognitive Match,Palo Alto,advertising,40,$10.2M,37.380653,-122.1156934
Cognitive Match,Omaha,advertising,40,$10.2M,41.2601663,-96.0791435
tracx,New York,analytics,40,$7.9M,32.0554,34.7595
FTRANS,"Atlanta,",software,40,$14.1M,33.7761977,-84.385257
Servo Software,San Mateo,software,40,$3.01M,37.552262,-122.292146
RainStor,San Francisco,analytics,40,$26.3M,51.865488,-2.235187
The Resumator,Pittsburgh,software,40,$2.98M,40.438423,-80.001933
InteliCloud,Newport Beach,network_hosting,40,$3.42M,33.658546,-117.86595
UTOPY,San Francisco,software,40,$7.5M,37.767575,-122.411157
RipCode,Richardson,software,39,$36.5M,32.959908,-96.70737
RipCode,Austin,software,39,$36.5M,30.402252,-97.748795
Bungee Labs,Orem,software,38,$23.5M,40.32462,-111.679755
JibJab,Venice,web,37,$17.9M,34.011335,-118.468458
Amadesa,Evanston,software,37,$12.8M,42.055849,-87.694664
Kiala,,other,37,£32.8M,50.8256038,4.3652584
4Home,Sunnyvale,software,36,$9.15M,37.385225,-121.991912
rPath,Raleigh,enterprise,36,$32.5M,35.79181,-78.74123
Technorati,San Francisco,advertising,35,$32.1M,37.779558,-122.393041
Jingle Networks,New York,mobile,35,$88.7M,37.480999,-122.173887
PixSense,Santa Clara,mobile,35,$7.4M,37.387114,-121.973228
Boomi,Berwyn,enterprise,35,$4.9M,40.063476,-75.457492
Livemocha,Seattle,education,35,$19.4M,47.6399006,-122.1914274
Evri,Seattle,news,35,$11.8M,47.620716,-122.347533
ModiFace,Toronto,analytics,35,$4.25M,43.666953,-79.388279
Liftopia,San Francisco,ecommerce,35,$7.3M,37.796164,-122.420903
Jinni,Tel Aviv,games_video,35,$8.1M,32.0554,34.7595
Futurlink,Barcelona,mobile,35,$7.62M,41.396553,2.189241
Sometrics,El Segundo,games_video,35,$5.55M,34.048857,-118.251343
magnify360,Los Angeles,public_relations,35,$2.5M,33.946285,-118.38823
magnify360,Los Angeles,public_relations,35,$2.5M,33.946285,-118.38823
magnify360,Los Angeles,public_relations,35,$2.5M,33.946285,-118.38823
magnify360,Los Angeles,public_relations,35,$2.5M,33.946285,-118.38823
expressor software,Burlington,software,35,$29.1M,42.485102,-71.211568
mydeco,London,web,35,£12.5M,51.518101,-0.468617
Simulmedia,New York,advertising,35,$57.3M,40.727216,-73.994797
Aria Networks,Chippenham,software,35,$9.05M,51.4515283,-2.1334555
AlterPoint,Austin,software,35,$26.8M,30.354768,-97.798152
Teambox,Barcelona,web,35,$6.75M,41.4063346,2.1920231
Gnip,Boulder,enterprise,34,$6.64M,40.019299,-105.274628
CorrectNet,Hauppauge,analytics,34,$3.37M,40.808322,-73.254767
PhotoThera,Carlsbad,biotech,34,$80.5M,33.13324,-117.275027
AdReady,Seattle,advertising,33,$17.8M,47.649027,-122.346299
KnowledgeTree,Raleigh,software,33,$6.95M,35.786975,-78.647003
OneRiot,Boulder,advertising,32,$27.3M,40.01621,-105.28131
Spectrum Bridge,Lake Mary,network_hosting,32,$23.3M,28.757202,-81.334464
Spectrum Bridge,Lake Mary,network_hosting,32,$23.3M,28.757202,-81.334464
Spectrum Bridge,Lake Mary,network_hosting,32,$23.3M,28.757202,-81.334464
Spectrum Bridge,Lake Mary,network_hosting,32,$23.3M,28.757202,-81.334464
Course Hero,Redwood City,education,32,$2.38M,37.511228,-122.200622
Layar,Amsterdam,mobile,32,$13.4M,52.3657578,4.8928722
Mint.com,Mountain View,finance,31,$31.8M,37.392392,-122.078727
Jaxtr,Menlo Park,mobile,30,$21.5M,37.451026,-122.18676
Behance,New York,web,30,$6.5M,40.74406,-74.004592
FlowPlay,Seattle,games_video,30,$3.97M,47.6015315,-122.335943
Worklight,New York,mobile,30,$17.6M,40.756799,-73.976348
blueKiwi,Paris,enterprise,30,$12.3M,48.8599791,2.3608064
Uversity,San Francisco,social,30,$10.2M,37.7749295,-122.4194155
Widgetbox,San Francisco,other,30,$14.5M,37.798853,-122.398599
Collarity,Palo Alto,advertising,30,$12.2M,37.407752,-122.154565
Replay Solutions,Redwood City,software,30,$15.2M,37.512318,-122.200914
Zemanta,London,web,30,$7.35M,51.5141566,-0.0934254
Zemanta,New York,web,30,$7.35M,40.7387945,-73.9939213
Zemanta,Ljubljana,web,30,$7.35M,46.0607926,14.4972218
Berkeley Design Automation,Santa Clara,software,30,$20.3M,37.374659,-121.970209
Cellufun,New York,games_video,30,$5.23M,40.73993,-73.9930489
eRepublik,Madrid,games_video,30,€2.75M,40.43094,-3.6952896
Austhink Software,"Melbourne, Victoria",software,30,$3.77M,-37.813603,144.96616
Limbo,Burlingame,mobile,30,$27.1M,37.580304,-122.343679
MetaPack,London,software,30,$20.5M,51.52216,-0.111242
MetaPack,London,software,30,$20.5M,51.52216,-0.111242
MetaPack,London,software,30,$20.5M,51.52216,-0.111242
MetaPack,London,software,30,$20.5M,51.52216,-0.111242
Burt,Gothenburg,advertising,30,$3.5M,59.337864,18.036587
Burt,Gothenburg,advertising,30,$3.5M,59.337864,18.036587
Burt,Gothenburg,advertising,30,$3.5M,59.337864,18.036587
Burt,Gothenburg,advertising,30,$3.5M,59.337864,18.036587
Geodelic Systems,Los Angeles,mobile,30,$10.5M,34.005914,-118.488129
Geodelic Systems,Los Angeles,mobile,30,$10.5M,34.005914,-118.488129
Geodelic Systems,Los Angeles,mobile,30,$10.5M,34.005914,-118.488129
Geodelic Systems,Los Angeles,mobile,30,$10.5M,34.005914,-118.488129
LiveHive Systems,Waterloo,software,30,$1.8M,43.474686,-80.521246
AdECN,Carpinteria,advertising,30,$3.1M,34.394343,-119.51231
Viigo,Toronto,mobile,30,C$7.9M,43.6490004,-79.3723339
